Sample Name,Sample Label,trt,time,repl
02w_CON_0.dedup.bam,02w_CON_0,nc,w2,0
02w_CON_1.dedup.bam,02w_CON_1,nc,w2,1
02w_SFN_0.dedup.bam,02w_SFN_0,sfn,w2,0
02w_SFN_1.dedup.bam,02w_SFN_1,sfn,w2,1
02w_UAA_0.dedup.bam,02w_UAA_0,ua,w2,0
02w_UAA_1.dedup.bam,02w_UAA_1,ua,w2,1
02w_UVB_0.dedup.bam,02w_UVB_0,pc,w2,0
02w_UVB_1.dedup.bam,02w_UVB_1,pc,w2,1
15w_CON_0.dedup.bam,15w_CON_0,nc,w15,0
15w_CON_1.dedup.bam,15w_CON_1,nc,w15,1
15w_SFN_0.dedup.bam,15w_SFN_0,sfn,w15,0
15w_SFN_1.dedup.bam,15w_SFN_1,sfn,w15,1
15w_UAA_0.dedup.bam,15w_UAA_0,ua,w15,0
15w_UAA_1.dedup.bam,15w_UAA_1,ua,w15,1
15w_UVB_0.dedup.bam,15w_UVB_0,pc,w15,0
15w_UVB_1.dedup.bam,15w_UVB_1,pc,w15,1
25w_CON_0.dedup.bam,25w_CON_0,nc,w25,0
25w_CON_1.dedup.bam,25w_CON_1,nc,w25,1
25w_SFN_0.dedup.bam,25w_SFN_0,sfn,w25,0
25w_SFN_1.dedup.bam,25w_SFN_1,sfn,w25,1
25w_UAA_1.dedup.bam,25w_UAA_1,ua,w25,0
25w_UAA_0.dedup.bam,25w_UAA_0,ua,w25,1
25w_UVB_0.dedup.bam,25w_UVB_0,pc,w25,0
25w_UVB_1.dedup.bam,25w_UVB_1,pc,w25,1
25t_CON_0.dedup.bam,25t_CON_0,nc,t25,0
25t_CON_1.dedup.bam,25t_CON_1,nc,t25,1
25t_SFN_0.dedup.bam,25t_SFN_0,sfn,t25,0
25t_SFN_1.dedup.bam,25t_SFN_1,sfn,t25,1
25t_UAA_0.dedup.bam,25t_UAA_0,ua,t25,0
25t_UAA_1.dedup.bam,25t_UAA_1,ua,t25,1
25t_UVB_0.dedup.bam,25t_UVB_0,pc,t25,0
25t_UVB_1.dedup.bam,25t_UVB_1,pc,t25,1
